sku,is_in_stock
KAN-AP-21S20_5,1
KAN-AP-21S20_4,1
KAN-AP-21S20_3,1
KAN-AP-21S20_2,1
KAN-AP-21S20_1,1
KAN-AP-21S21_5,1
KAN-AP-21S21_4,1
KAN-AP-21S21_3,1
KAN-AP-21S21_2,1
KAN-AP-21S21_1,1
KAN-AP-21S23_5,1
KAN-AP-21S23_4,1
KAN-AP-21S23_3,1
KAN-AP-21S23_2,1
KAN-AP-21S23_1,1
KAN-AP-21S24_5,1
KAN-AP-21S24_4,1
KAN-AP-21S24_3,1
KAN-AP-21S24_2,1
KAN-AP-21S24_1,1
KAN-AP-21S25_5,1
KAN-AP-21S25_4,1
KAN-AP-21S25_3,1
KAN-AP-21S25_2,1
KAN-AP-21S25_1,1
KAN-AP-21S26_5,1
KAN-AP-21S26_4,1
KAN-AP-21S26_3,1
KAN-AP-21S26_2,1
KAN-AP-21S26_1,1
KAN-AP-21S29_5,1
KAN-AP-21S29_4,1
KAN-AP-21S29_3,1
KAN-AP-21S29_2,1
KAN-AP-21S29_1,1
KAN-AP-21S30_5,1
KAN-AP-21S30_4,1
KAN-AP-21S30_3,1
KAN-AP-21S30_2,1
KAN-AP-21S30_1,1
KAN-AP-21S31_5,1
KAN-AP-21S31_4,1
KAN-AP-21S31_3,1
KAN-AP-21S31_2,1
KAN-AP-21S31_1,1
KAN-AP-21S34_5,1
KAN-AP-21S34_4,1
KAN-AP-21S34_3,1
KAN-AP-21S34_2,1
KAN-AP-21S34_1,1
KAN-AP-21S35_5,1
KAN-AP-21S35_4,1
KAN-AP-21S35_3,1
KAN-AP-21S35_2,1
KAN-AP-21S35_1,1
KAN-AP-21S37_3,1
KAN-AP-21S37_2,1
KAN-AP-21S37_1,1
KAN-AP-21S39_5,1
KAN-AP-21S39_4,1
KAN-AP-21S39_3,1
KAN-AP-21S39_2,1
KAN-AP-21S39_1,1
KAN-AP-21S42_3,1
KAN-AP-21S42_2,1
KAN-AP-21S42_1,1
KAN-AP-21S43_3,1
KAN-AP-21S43_2,1
KAN-AP-21S43_1,1
KAN-AP-21S47_3,1
KAN-AP-21S47_2,1
KAN-AP-21S47_1,1
KAN-AP-21S49_5,1
KAN-AP-21S49_4,1
KAN-AP-21S49_3,1
KAN-AP-21S49_2,1
KAN-AP-21S49_1,1
KAN-AP-21S50_5,1
KAN-AP-21S50_4,1
KAN-AP-21S50_3,1
KAN-AP-21S50_2,1
KAN-AP-21S50_1,1
KAN-AP-21S51_5,1
KAN-AP-21S51_4,1
KAN-AP-21S51_3,1
KAN-AP-21S51_2,1
KAN-AP-21S51_1,1
KAN-AP-21S55_5,1
KAN-AP-21S55_4,1
KAN-AP-21S55_3,1
KAN-AP-21S55_2,1
KAN-AP-21S55_1,1
KAN-AP-21S56_5,1
KAN-AP-21S56_4,1
KAN-AP-21S56_3,1
KAN-AP-21S56_2,1
KAN-AP-21S56_1,1
KAN-AP-21S57_5,1
KAN-AP-21S57_4,1
KAN-AP-21S57_3,1
KAN-AP-21S57_2,1
KAN-AP-21S57_1,1
KAN-AP-21S59_5,1
KAN-AP-21S59_4,1
KAN-AP-21S59_3,1
KAN-AP-21S59_2,1
KAN-AP-21S59_1,1
KAN-AP-21S60_5,1
KAN-AP-21S60_4,1
KAN-AP-21S60_3,1
KAN-AP-21S60_2,1
KAN-AP-21S60_1,1
KAN-AP-21S61_5,1
KAN-AP-21S61_4,1
KAN-AP-21S61_3,1
KAN-AP-21S61_2,1
KAN-AP-21S61_1,1
KAN-AP-21S64,1
KAN-AP-21S65_5,1
KAN-AP-21S65_4,1
KAN-AP-21S65_3,1
KAN-AP-21S65_2,1
KAN-AP-21S65_1,1
KAN-AP-17WF01,1
KAN-AP-17WF02,1
KAN-AP-17WF03,1
